Topic,ID,Title,Difficulty,LeetCode,GFG,Video
Arrays,arr-1,Contains Duplicate,Easy,https://leetcode.com/problems/contains-duplicate/,,https://youtu.be/0LIctkgJ2hQ?si=_HCwpjCa9-u2X1i3
Arrays,arr-2,Two Sum,Easy,https://leetcode.com/problems/two-sum,,https://youtu.be/UXDSeD9mN-k?si=ojEpmTrWYRgoBu3P
Arrays,arr-3,Reverse Array,Easy,,https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/,https://youtu.be/gGtmacuQu-k?si=AL9GszfrM4QhUGUv
Arrays,arr-4,Move Zeroes,Easy,https://leetcode.com/problems/move-zeroes,,https://youtu.be/k5lIW5XxC7g?si=h6MmcG-kxxATaU5U
Arrays,arr-5,Missing Number,Easy,https://leetcode.com/problems/missing-number,,https://youtu.be/bYWLJb3vCWY?si=SWnZxxNprb_85pTc
Arrays,arr-6,Majority Element,Easy,https://leetcode.com/problems/majority-element/,,https://youtu.be/nP_ns3uSh80?si=XxxF5L4jdd7a9G_b
Arrays,arr-7,Remove Duplicates from Sorted Array,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,,https://youtu.be/DEJAZBq0FDA?si=G2t7BaBgiCMuP4r1
Arrays,arr-8,Max Consecutive Ones,Easy,https://leetcode.com/problems/max-consecutive-ones/description,,https://youtu.be/vLsRew-ABVs?si=AhebnJWH-C3WgX_r
Arrays,arr-9,Find Pivot Index,Easy,https://leetcode.com/problems/find-pivot-index/description/,,https://youtu.be/2x5QL3Z_p8Y?si=7EuHIfilFAUp6vL6
Arrays,arr-10,Maximum Average Subarray I,Easy,https://leetcode.com/problems/maximum-average-subarray-i/description/,,https://youtu.be/56TxHMG0qhQ?si=ySRl7xmF0qw_BbK8
Arrays,arr-11,Chocolate Distribution,Easy,,https://www.geeksforgeeks.org/chocolate-distribution-problem,https://youtu.be/T3sWA_ha1-w?si=2vnJ5I_tngnCgXTC
Arrays,arr-12,Check if Array is Sorted and Rotated,Easy,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/,,https://youtu.be/Vzs_vlCIFEw?si=4UVasWpqNMuvIUCP
Arrays,arr-13,Longest Subarray of 1s After Deleting One Element,Medium,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/description/,,https://youtu.be/nSI0-acwuPU?si=UD3cHc9FYhjAuyvt
Arrays,arr-14,3Sum,Medium,https://leetcode.com/problems/3sum,,https://youtu.be/DhFh8Kw7ymk?si=-96dohkXpc3IVVNJ
Arrays,arr-15,Container With Most Water,Medium,https://leetcode.com/problems/container-with-most-water/,,https://youtu.be/w7ftYsZtIbs?si=unUoI6hp9o2TprgS
Arrays,arr-16,Kth Largest Element in an Array,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array,,https://youtu.be/XEmy13g1Qxc?si=EFqPII9WATdmp6lM
Arrays,arr-17,Sort Colors,Medium,https://leetcode.com/problems/sort-colors/description/,,https://youtu.be/6sMssUHgaBs?si=Ge031OWwAcLwQT1d
Arrays,arr-18,Product of Array Except Self,Medium,https://leetcode.com/problems/product-of-array-except-self,,https://youtu.be/G9zKmhybKBM?si=Dqr2LU3hoPV_DQuu
Arrays,arr-19,Longest Consecutive Sequence,Medium,https://leetcode.com/problems/longest-consecutive-sequence,,https://youtu.be/oO5uLE7EUlM?si=GLjaJNqlJqLiBN0C
Arrays,arr-20,Find Peak Element,Medium,https://leetcode.com/problems/find-peak-element,,https://youtu.be/cXxmbemS6XM?si=Uv588l2hv_Z1zF5U
Arrays,arr-21,Best Time to Buy and Sell Stock,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,,https://youtu.be/excAOvwF_Wk?si=v3H-M4qYsdjcGIKK
Arrays,arr-22,Maximum Product Subarray,Medium,https://leetcode.com/problems/maximum-product-subarray/,,https://youtu.be/hnswaLJvr6g?si=ffDEGJ-Hm6f0RyaV
Arrays,arr-23,Set Matrix Zeroes,Medium,https://leetcode.com/problems/set-matrix-zeroes/,,https://youtu.be/N0MgLvceX7M?si=eU56P4UsJPpeX1Kl
Arrays,arr-24,Spiral Matrix,Medium,https://leetcode.com/problems/spiral-matrix/description/,,https://youtu.be/aqVW8IuXUF0?si=jvfgxDUT4JvH5uBk
Arrays,arr-25,Subarray Sum Equals K,Medium,https://leetcode.com/problems/subarray-sum-equals-k/description/,,https://youtu.be/YxRmeRyVQm4?si=4so9m16Wru3aSg0A
Arrays,arr-26,Gas Station,Medium,https://leetcode.com/problems/gas-station/description/,,https://youtu.be/fOaUh1_fJPw?si=3wJPaqpJRUZdGV0l
Arrays,arr-27,Matrix Block Sum,Medium,https://leetcode.com/problems/matrix-block-sum/description/,,https://youtu.be/2RxD2GTzMLw?si=Bxu8iZ1E0EeGZMQo
Arrays,arr-28,Repeat and Missing Number Array,Medium,,https://www.interviewbit.com/problems/repeat-and-missing-number-array/,https://youtu.be/2D0D8HE6uak?si=XBaVtu6uilh-Ml38
Arrays,arr-29,Trapping Rain Water,Medium,https://leetcode.com/problems/trapping-rain-water/,,https://youtu.be/1_5VuquLbXg?si=b0Eg6Ipt1gigMyxt
Arrays,arr-30,Find All Numbers Disappeared in an Array,Medium,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/description/,,https://youtu.be/8i-f24YFWC4?si=SfW99Fl7FEzXE1Pr
Strings,str-1,Valid Anagram,Easy,https://leetcode.com/problems/valid-anagram/,,https://youtu.be/9UtInBqnCgA?si=ttSrLF5vYu44neNt
Strings,str-2,Reverse String,Easy,https://leetcode.com/problems/reverse-string/,,https://youtu.be/_d0T_2Lk2qA?si=sTWPcP26YY55GRv0
Strings,str-3,Check for Palindrome,Easy,,https://www.geeksforgeeks.org/c-program-check-given-string-palindrome/,https://youtu.be/jJXJ16kPFWg?si=GcE41o38qIDRx_vB
Strings,str-4,Group Anagrams,Easy,https://leetcode.com/problems/group-anagrams/,,https://youtu.be/vzdNOK2oB2E?si=a98NonFDrKOcWldt
Strings,str-5,Remove All Adjacent Duplicates In String,Easy,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,,https://youtu.be/w6LcypDgC4w?si=z_kw5HzW0G39vy90
Strings,str-6,Balanced Brackets,Easy,,https://www.hackerrank.com/challenges/balanced-brackets/problem,https://youtu.be/Otf9lp3DQJo?si=AE2xfNq61JElRzrb
Strings,str-7,Longest Substring Without Repeating Characters,Easy,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,https://youtu.be/-zSxTJkcdAo?si=4_WtSIH7S_gqN9Zv
Strings,str-8,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses/,,https://youtu.be/cHT6sG_hUZI?si=pOalE3_ts7VNHQEm
Strings,str-9,String to Integer (atoi),Easy,https://leetcode.com/problems/string-to-integer-atoi/,,https://youtu.be/2I9XO8jwZCA?si=eYxjSdnEWx5p0Kys
Strings,str-10,Longest Palindromic Substring,Medium,https://leetcode.com/problems/longest-palindromic-substring/,,https://youtu.be/XYQecbcd6_c?si=trDF5TB2-NbnCbiL
Strings,str-11,Roman to Integer,Medium,https://leetcode.com/problems/roman-to-integer/,,https://youtu.be/3jdxYj3DD98?si=MCkGMI2pVT10EDwn
Strings,str-12,Minimum Add to Make Parentheses Valid,Medium,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,,https://youtu.be/UizI7R6ND9Q?si=GwZ2UzCb5w0trRA7
Strings,str-13,Sum of Beauty of All Substrings,Medium,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/,,https://youtu.be/PqxmZk_bdyw?si=c_NHBQNwP-Gvzwlu
Strings,str-14,Valid Palindrome II,Medium,https://leetcode.com/problems/valid-palindrome-ii/,,https://youtu.be/JrxRYBwG6EI?si=ZWniHz2tck5OH3ft
Strings,str-15,String Rotated by 2 places,Medium,,https://www.geeksforgeeks.org/problems/check-if-string-is-rotated-by-two-places-1587115620/1,https://youtu.be/S4arTLcCp6I?si=H1VDQ9An1OGmcTKn
Strings,str-16,Regular Expression Matching,Medium,https://leetcode.com/problems/regular-expression-matching/,,https://youtu.be/HAA8mgxlov8?si=xOQbtqZ9N1Fl9Hbu
Strings,str-17,Longest Valid Parentheses,Medium,https://leetcode.com/problems/longest-valid-parentheses/,,https://youtu.be/VdQuwtEd10M?si=RVcPBeJSsmyeEluk
Strings,str-18,Wildcard Matching,Medium,https://leetcode.com/problems/wildcard-matching/,,https://youtu.be/ZmlQ3vgAOMo?si=RVvVYR53og_4GGwp
