,,Graphs,,,
No,Name,Difficulty,Link,company,video link
1,BFS,Easy,https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1, ,https://youtu.be/pcKY4hjDrxk?si=JZJ0KDI9OKcjsG5T
2,DFS,Easy,https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1, ,https://youtu.be/pcKY4hjDrxk?si=JZJ0KDI9OKcjsG5T
3,Create adjacency list,Easy,https://www.geeksforgeeks.org/problems/print-adjacency-list-1587115620/1, ,https://youtu.be/5hPfm_uqXmw?si=zeDdJcrrgVdWyqlf
4,Number of connected components,Easy,https://www.geeksforgeeks.org/problems/number-of-provinces/1, ,https://youtu.be/8f1XPm4WOUc?si=2XQmkzQFGpbHFPmQ
5,Island perimeter,Easy,https://leetcode.com/problems/island-perimeter/description, ,https://youtu.be/fISIuAFRM2s?si=yQAYT_fXgFC-G9xo
6,Is bipartite?,Medium,https://leetcode.com/problems/is-graph-bipartite/description/, ,https://youtu.be/-vu34sct1g8?si=Y7UbBYh_WprJKdWo
7,Surrounded regions,Medium,https://leetcode.com/problems/surrounded-regions/description, ,https://youtu.be/BtdgAys4yMk?si=M1GcK_IwmCqlgSfF
8,Word search,Medium,https://leetcode.com/problems/word-search/description, ,https://youtu.be/pfiQ_PS1g8E?si=wTbcJ1A54uhR1Y0W
9,Number of islands,Medium,https://leetcode.com/problems/number-of-islands/description, ,https://youtu.be/muncqlKJrH0?si=7hMHCbN9AEML9h7K
10,Detect cycles,Medium,https://leetcode.com/problems/detect-cycles-in-2d-grid/description/, ,https://youtu.be/9twcmtQj4DU?si=sjGGtnudNiVDWc2S
11,Course schedule,Medium,https://leetcode.com/problems/course-schedule/description, ,https://youtu.be/EgI5nU9etnU?si=MuBlBEznj92UGDIS
12,Course schedule ||,Medium,https://leetcode.com/problems/course-schedule-ii/description, ,https://youtu.be/Akt3glAwyfY?si=OE6v_ybU6p9R0HyT
13,Minesweeper,Medium,https://leetcode.com/problems/minesweeper/description, ,https://youtu.be/zPmuqLKPbE8?si=296YNpkfkQ0K-uDZ
14,01 matrix,Medium,https://leetcode.com/problems/01-matrix/description, ,https://youtu.be/edXdVwkYHF8?si=szlH7nCoYwHdQ0O9
15,Minimum height tree,Medium,https://leetcode.com/problems/minimum-height-trees/description, ,https://youtu.be/ivl6BHJVcB0?si=RH9illRQdFqjQIW4
16,Topological sort,Medium,https://www.geeksforgeeks.org/problems/topological-sort/1, ,https://youtu.be/73sneFXuTEg?si=v3GDq-_SAov5jTDk
17,Number of ways to get to destination,Medium,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/description/, ,https://youtu.be/_-0mx0SmYxA?si=rf4pf_Ss7m2HeVjD
18,Prims minimum spanning tree,Medium,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1, ,https://youtu.be/4ZlRH0eK-qQ?si=r6o8sZ06V0PqFOCN
19,Disjoint set union,Medium,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1, ,https://youtu.be/aBxjDBC4M1U?si=UJ3ztvankqrZW1-7
20,Kruskal minimum spanning tree,Medium,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1, ,https://youtu.be/4ZlRH0eK-qQ?si=r6o8sZ06V0PqFOCN
21,Dijkstra ,Medium,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1, ,https://youtu.be/XB4MIexjvY0?si=49SHAev2fsjZ-3zy
22,Longest increasing path in a matrix,Hard,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/description, ,https://youtu.be/wCc_nd-GiEc?si=HQVqhX2Ce8ogT3q_
